timeCondition,mean,std,min,max,median
hour,0.0712166666666667,0.0276837942716994,0.0131958333333333,0.106945833333333,0.0833333333333333
day,1.09585481770833,0.176412827405735,0.961804166666667,1.78680416666667,1.03506875
week,6.73605987654321,0.568783347962358,6.00069583333333,7.95069583333333,6.63819583333333
month,27.9578073232323,1.29114975440528,26.99375,31.9333333333333,27.5048625
months3,88.5046755555556,3.05608987942383,85.8673625,97.1104166666667,87.2267354166667
months8,240.128385286458,2.72264656099084,232.222220833333,247.230554166667,240.013541666667
years,665.260560344827,5.46121652052779,656.672220833333,672.055554166667,665.697220833333
