timeCondition,subj_idx,ID,hourDiff21
months8,0,0349843571f5184e8feb7995bc,5769.15
months8,1,04bf771a158527a584696693ee,5791.2333
months8,2,1e0bedfd7427aa3189a4de3c0c,5763.6167
months8,3,2076262700981aeb117c0457e9,5680.45
months8,4,21fc1d85a3e4264449ef7f15a9,5730.6167
months8,5,3707663e543822b1143b7f7366,5760.05
months8,6,3f8ec61536b41cbab72d3b1178,5761.1667
months8,7,47e318f3e1fc694fb0af8efffb,5782.9833
months8,8,63dc7e59b6494366a309109de7,5677.1833
months8,9,6664325acb7fd0749675007f1e,5733.1
months8,10,6d2bad20069b95f45e4cf734f8,5767.8667
months8,11,7e8d8938cbdd4769db30e002d7,5786.0167
months8,12,7f6655cceaaca16c9df3bef2c5,5729.55
months8,13,8396a1f1c342c3e5dbb58a8133,5722.5333
months8,14,923cc29be54d7cd4ce7556dd5a,5573.3333
months8,15,959eccb9184b81bd9f7feb85b8,5760.15
months8,16,96e4085d35f2368ed29eea95b2,5725.7667
months8,17,9c1accd9f9ae08747e7ae41257,5917.5333
months8,18,a780140aae52124384af578003,5839.0667
months8,19,ab7f995e415b349284668a31fe,5805.8
months8,20,ad286e444c9dd880d2c46b45a8,5810.0333
months8,21,ad3ecbabd73a7e1303df80ded0,5736.1667
months8,22,bcc12a124e2fda26d8247368ef,5769.9833
months8,23,bd73373ea26145b1659a476abc,5764.6833
months8,24,c588feecbd6de108c81be0fac8,5760.5
months8,25,c5ab3e10b83c42fc99f167911a,5733.7833
months8,26,c8241fb5551c59a2ccc8024676,5853.5833
months8,27,e3a314b90577729404891a56bd,5746.7667
months8,28,e68c11c31e8e312d0ad5b87921,5735.55
months8,29,e8a203bb30dd199d1da177a72c,5737.3333
months8,30,fa69259f5e54dd1c7c06ada882,5759.5167
months8,31,fac5f32f1acb880e7a16b5e9ad,5933.5333
